sep=,
SMILES,Catalog ID,MW,MW (desalted),ClogP,logS,HBD,HBA,TPSA,RotBonds,AnalogsFromREAL
O=C(O)C1=CC=2SC=CC2S1,Z666140572,184.238,184.238,2.934,-2.78,1,2,37.3,1,https://real.enamine.net/public-enum-files/Z666140572
COC(=O)C=1C=CC(Cl)=CC1N,Z53833897,185.608,185.608,2.935,-2.29,1,2,52.32,2,https://real.enamine.net/public-enum-files/Z53833897
CC(=O)C1=CNC2=CC=CC=C12,Z57337726,159.185,159.185,1.979,-2.56,1,1,32.86,1,https://real.enamine.net/public-enum-files/Z57337726
O=C(O)C1=CC=C2OCCC2=C1,Z285150320,164.158,164.158,2.158,-1.88,1,3,46.53,1,https://real.enamine.net/public-enum-files/Z285150320
O=C(O)CCC=1C=CC(O)=CC1,Z317038012,166.174,166.174,1.236,-0.95,2,3,57.53,3,https://real.enamine.net/public-enum-files/Z317038012
CC=1C=C(C)C(N)=C(C1)C(=O)O,Z362758732,165.19,165.19,2.156,-2.14,2,3,63.32,1,
NC1=CC=C2C=CS(=O)(=O)C2=C1,Z445135574,181.213,181.213,0.505,-1.95,1,3,60.16,0,https://real.enamine.net/public-enum-files/Z445135574
O=C(O)C1=CC=2C=C(Cl)SC2N1,Z1508918230,201.631,201.631,2.611,-4.3,2,2,53.09,1,
NCCC=1C=CC(=CC1)S(N)(=O)=O,Z56755653,200.26,200.26,-0.404,-1,2,3,86.18,3,https://real.enamine.net/public-enum-files/Z56755653
O=C(O)CC=1C=CC=CC1C(=O)O,Z104474214,180.158,180.158,0.857,-1.2,2,4,74.6,3,https://real.enamine.net/public-enum-files/Z104474214
NC1=NC=C(CC=2C=CC=CC2)S1,Z57040472,190.266,190.266,2.296,-2.84,1,2,38.91,2,https://real.enamine.net/public-enum-files/Z57040472
CC1=NC(=CS1)C2=CC=CC(N)=C2,Z57984669,190.266,190.266,2.05,-2.32,1,2,38.91,1,https://real.enamine.net/public-enum-files/Z57984669
CC1=CC=CC(C)=C1OCC(=O)O,Z56924437,180.201,180.201,2.348,-2.04,1,3,46.53,3,https://real.enamine.net/public-enum-files/Z56924437
CC=1C=CC=2C=C(NC2C1)C(=O)O,Z119989628,175.184,175.184,2.63,-3.17,2,2,53.09,1,https://real.enamine.net/public-enum-files/Z119989628
CC(=O)NC=1C=CC(=CC1)C(=O)O,Z57042001,179.173,179.173,1.198,-1.68,2,3,66.4,3,https://real.enamine.net/public-enum-files/Z57042001
O=C(O)C1=CN=C2C=CC=CC2=C1,Z838909446,173.168,173.168,2.183,-2.17,1,3,50.19,1,https://real.enamine.net/public-enum-files/Z838909446
CC(=O)C1=CNC2=C(C)C=CC=C12,Z1198233123,173.212,173.212,2.478,-2.84,1,1,32.86,1,https://real.enamine.net/public-enum-files/Z1198233123
C=1C=C2OCOC2=CC1CNC3CCCC3,Z57326449,219.28,219.28,2.947,-2.755,1,3,30.49,3,https://real.enamine.net/public-enum-files/Z57326449
NC=1C=CC=2N=C(CC=3C=CC=CC3)OC2C1,Z361423098,224.258,224.258,2.7,-2.64,1,2,52.05,2,
NNC(=O)C=1C=CC(O)=CC1,Z57036327,152.151,152.151,-0.063,-1.26,3,3,75.35,1,https://real.enamine.net/public-enum-files/Z57036327
O=C1C=CNC(=O)N1,Z56889474,112.087,112.087,-1.056,-0.88,2,2,58.2,0,https://real.enamine.net/public-enum-files/Z56889474
Cl.Cl.NCCC1=CNC=N1,Z1267773750,184.066,111.145,-0.968,-1.08,2,2,54.7,2,https://real.enamine.net/public-enum-files/Z1267773750
OCC=1C=CC(Cl)=CC1,Z104478032,142.583,142.583,1.817,-1.69,1,1,20.23,1,https://real.enamine.net/public-enum-files/Z104478032
CCC=1C=CC(O)=CC1,Z104479728,122.165,122.165,2.503,-2,1,1,20.23,1,https://real.enamine.net/public-enum-files/Z104479728
OCCC=1C=CC=CC1,Z104473586,122.165,122.165,1.333,-0.97,1,1,20.23,2,https://real.enamine.net/public-enum-files/Z104473586
FC(F)(F)C1=CN=CN1,Z440623534,136.075,136.075,1.035,-1.62,1,1,28.68,1,https://real.enamine.net/public-enum-files/Z440623534
CC=1N=CC(C)=C(N)N1,Z1198261676,123.156,123.156,0.624,-0.49,1,3,51.8,0,https://real.enamine.net/public-enum-files/Z1198261676
O=C(O)C=1C=CC=CC1Br,Z57825381,201.017,201.017,2.196,-2.65,1,2,37.3,1,https://real.enamine.net/public-enum-files/Z57825381
O=C(O)CCC1CCCC1,Z104478044,142.196,142.196,2.426,-2.27,1,2,37.3,3,https://real.enamine.net/public-enum-files/Z104478044
OC=1C=CC=2OCOC2C1,Z104473678,138.121,138.121,1.564,-1.57,1,3,38.69,0,https://real.enamine.net/public-enum-files/Z104473678
O=C(O)C=1C=CC=CC1F,Z57914061,140.112,140.112,1.766,-1.8,1,2,37.3,1,https://real.enamine.net/public-enum-files/Z57914061
NS(=O)(=O)N1CCCCC1,Z300095616,164.227,164.227,0.96,-0.5,1,3,63.4,1,https://real.enamine.net/public-enum-files/Z300095616
OCN1C=NC=2C=CC=CC21,Z56926682,148.162,148.162,0.604,-1.18,1,2,38.05,1,https://real.enamine.net/public-enum-files/Z56926682
CC=1C=C2N=CNC2=CC1C,Z55928828,146.19,146.19,2.513,-3,1,1,28.68,0,https://real.enamine.net/public-enum-files/Z55928828
