sep=,
SMILES,Catalog ID,MW,MW (desalted),ClogP,logS,HBD,HBA,TPSA,RotBonds,AnalogsFromREAL
COC(=O)N(C)C=1C=CC(=CC1)OCC2=CN=C(Cl)S2,Z1533279041,312.773,312.773,2.32,-4.36,0,4,51.66,6,https://real.enamine.net/public-enum-files/Z1533279041
CCOC(C)C1=NC(=CS1)CSC2=NN=NN2C3CCCC3,Z1236181152,339.482,339.482,2.392,-3.304,0,5,65.72,7,https://real.enamine.net/public-enum-files/Z1236181152
COCC1=NN(CC2=NC=3C=CC=CC3S2)C(=O)O1,Z1416622841,277.301,277.301,0.607,-1.919,0,4,64.02,4,https://real.enamine.net/public-enum-files/Z1416622841
CC(C)CC1(CNC(=O)C2=CN(CC=3C=CC=NC3)N=N2)CCC1,Z1401527786,327.425,327.425,2.498,-3.24,1,4,72.7,8,https://real.enamine.net/public-enum-files/Z1401527786
CCC=1N=NSC1C(=O)NCC=2C=CC=C(C2)N3CCCCC3=O,Z809542748,344.433,344.433,2.438,-3.76,1,4,75.19,6,https://real.enamine.net/public-enum-files/Z809542748
CN1C=C(N=C1Cl)S(=O)(=O)NC2(C#N)CCCC2,Z1532462694,288.755,288.755,1.458,-3.16,1,4,87.78,3,https://real.enamine.net/public-enum-files/Z1532462694
CCC1=NC(=NO1)C2CCCN(C2)C(=O)C3=CN=NS3,Z1079898038,293.347,293.347,-0.31,-1.95,0,5,85.01,4,https://real.enamine.net/public-enum-files/Z1079898038
CC(=O)NCC1=CC=C(S1)S(=O)(=O)N2CCCSCC2,Z741338878,334.482,334.482,0.688,-3.358,1,3,66.48,5,https://real.enamine.net/public-enum-files/Z741338878
CC1=NN=C(SCC2=C(OC=3C=CC=CC23)C(=O)NC(C)C)S1,Z916759732,347.458,347.458,2.074,-5.506,1,3,68.02,6,https://real.enamine.net/public-enum-files/Z916759732
O=S(=O)(NCC1=NC=CS1)N2CCC=3C=CC=CC3C2,Z741314880,309.41,309.41,2.808,-2.343,1,4,62.3,4,https://real.enamine.net/public-enum-files/Z741314880
CN1C=C(C=N1)NC(=O)C(=O)NCC2(CC2)C=3C=CC=CC3Cl,Z1545902947,332.785,332.785,1.21,-2.376,2,3,76.02,7,https://real.enamine.net/public-enum-files/Z1545902947
CC=1C=C2N(C(=O)C=3C=C(F)C=C(F)C3)C(CC(C)N2N1)C(F)(F)F,Z1480761958,359.295,359.295,2.525,-5.14,0,2,38.13,3,https://real.enamine.net/public-enum-files/Z1480761958
O=C(CSC1=NN=NN1C2CC2)NC=3C=CC=NC3Cl,Z126266734,310.764,310.764,0.943,-3.75,1,5,85.59,6,https://real.enamine.net/public-enum-files/Z126266734
CCOC=1C=CC(F)=C(C(=O)N(C)CC2=NC=CN2C(F)F)C1F,Z1533166268,345.293,345.293,1.827,-2.84,0,3,47.36,7,https://real.enamine.net/public-enum-files/Z1533166268
O=S(=O)(NC1=CC(=NN1)C(F)(F)F)C=2C=C(F)C(F)=C(F)C2,Z1497596623,345.223,345.223,2.929,-4.799,2,3,74.85,4,https://real.enamine.net/public-enum-files/Z1497596623
CC(C)C(CNC(=O)CN1N=C2C=CC=CN2C1=O)N3CCOCC3,Z338745558,347.413,347.413,1.721,-2.35,1,5,77.48,7,https://real.enamine.net/public-enum-files/Z338745558
CN(CC1=NC=CN1CC(F)(F)F)C(=O)NC2=CC=C(F)C=C2F,Z1082878732,348.272,348.272,1.047,-3.309,1,2,50.16,7,https://real.enamine.net/public-enum-files/Z1082878732
CCN(CC)CCNC(=O)C1CCN(CC1)C=2C=CC(Cl)=NN2,Z337720018,339.864,339.864,1.16,-3.14,1,5,61.36,8,https://real.enamine.net/public-enum-files/Z337720018
O=C(CCNC(=O)OCC(F)(F)F)N1CCCC=2C=C(F)C=CC21,Z816500328,348.293,348.293,2.924,-4.268,1,2,58.64,8,https://real.enamine.net/public-enum-files/Z816500328
CC1=NC(=CS1)CCNC(=O)C2CC(=NO2)C=3C=CC=CC3,Z744169022,315.392,315.392,2.432,-3.14,1,4,63.58,6,https://real.enamine.net/public-enum-files/Z744169022
O=C(NC1CCS(=O)(=O)C1)C2=CC=3C(Cl)=C(Cl)C=CC3N2,Z433068720,347.218,347.218,1.723,-4.739,2,3,79.03,3,https://real.enamine.net/public-enum-files/Z433068720
CN(C)C(=O)C=1C=CC=C(C1)CN2C(=O)CSC2=O,Z2735751151,278.329,278.329,0.333,-3.359,0,3,57.69,4,https://real.enamine.net/public-enum-files/Z2735751151
N#CC=1C=CC=C(C1)NC(=O)CCN2N=C(OC2=O)C3=CC=CS3,Z131220784,340.358,340.358,2.392,-4.31,1,4,94.79,6,https://real.enamine.net/public-enum-files/Z131220784
CC1=NN(C)C(C)=C1C(=O)NC=2C=CC(Cl)=C(C2)C(F)(F)F,Z223993704,331.721,331.721,2.698,-3.691,1,2,46.92,4,https://real.enamine.net/public-enum-files/Z223993704
CC=1OC=CC1C(=O)N2CCN(CC3=NC=C(Cl)N3C)CC2,Z745530568,322.79,322.79,1.323,-1.9,0,3,54.51,4,https://real.enamine.net/public-enum-files/Z745530568
CC1CC1NC(=O)C2=CN=C(S2)C3=CC=CS3,Z1081887878,264.369,264.369,3.056,-3.91,1,2,41.99,4,https://real.enamine.net/public-enum-files/Z1081887878
CCC(C)C(=O)NNC(=O)C1=CC=2CCCCC2S1,Z237975198,280.387,280.387,3.088,-4.74,2,2,58.2,6,https://real.enamine.net/public-enum-files/Z237975198
CC1=CC=C(CN(C)C(=O)CC2=C(C)N=C3NN(C)C(=O)C3=C2C)O1,Z1143321626,342.393,342.393,0.172,-2.917,1,4,78.68,5,https://real.enamine.net/public-enum-files/Z1143321626
O=S1(=O)CCC(C1)N(CC=2C=CON2)CC=3C=CC=CC3F,Z1375103588,324.372,324.372,0.688,-2.33,0,4,63.41,5,https://real.enamine.net/public-enum-files/Z1375103588
O=S(=O)(OCC(F)(F)C(F)F)C=1C=CC=2COCC2C1,Z1084401296,314.255,314.255,1.395,-3.499,0,3,52.6,5,https://real.enamine.net/public-enum-files/Z1084401296
CC1=NN(C)C(Cl)=C1C(=O)NC2CCCC2,Z224841896,241.717,241.717,0.712,-2.528,1,2,46.92,3,https://real.enamine.net/public-enum-files/Z224841896
CCN(CC)C(=O)NC1=CC(=CC=C1F)N2CCCS2(=O)=O,Z746752238,329.392,329.392,0.872,-3.167,1,3,69.72,6,https://real.enamine.net/public-enum-files/Z746752238
O=C(NCCC1=NC=CN1CC(F)(F)F)C=2C=C(Cl)C=CC2F,Z1083831298,349.711,349.711,1.584,-3.84,1,2,46.92,7,https://real.enamine.net/public-enum-files/Z1083831298
CC(C)(C)C1=NN=C(O1)SCC2CNC(=NO2)C=3C=CC=CC3,Z1082288566,332.422,332.422,2.767,-4.53,1,5,72.54,5,
COCC(=O)NC1=C(C(=NN1C)C(F)(F)F)C=2C=CC(Cl)=CC2,Z1082336902,347.72,347.72,2.169,-4.466,1,3,56.15,6,https://real.enamine.net/public-enum-files/Z1082336902
NC(=O)NN=CC=1SC(=NC1C2=CC=CS2)N3CCCCC3,Z49561161,335.451,335.451,3.051,-4.86,2,4,83.61,5,https://real.enamine.net/public-enum-files/Z49561161
CN(C)C(=O)SC1=CC=CC=C1NS(=O)(=O)C2=CC=CS2,Z1082458996,342.461,342.461,2.23,-4.697,1,3,66.48,6,https://real.enamine.net/public-enum-files/Z1082458996
COC(=O)NN=C(C)C1=CC=C(C(F)=C1)N2CCOCC2,Z49621898,295.31,295.31,2.277,-2.528,1,4,63.16,5,https://real.enamine.net/public-enum-files/Z49621898
COC(=O)NN=C1C(=O)NC2=CC=C(Br)C=C12,Z49622013,298.093,298.093,2.078,-3.278,2,3,79.79,3,https://real.enamine.net/public-enum-files/Z49622013
